ZUZH	Panzhihua Bao'anying Airport[1]	Panzhihua, Sichuan, China
ZSPD	Shanghai Pudong International Airport	Shanghai, China
ZBAD	Beijing Daxing International Airport	Beijing, China
ZBAA	Beijing Capital International Airport	Beijing, China
YTMO	The Monument Airport[1]	Phosphate Hill, Queensland, Australia
YPSH	Penneshaw Airport[1]	Penneshaw, South Australia, Australia
YPPH	Perth Airport	Perth, Western Australia, Australia
YPPD	Port Hedland International Airport	Port Hedland, Western Australia, Australia
YPOD	Portland Airport	Portland, Victoria, Australia
YPMQ	Port Macquarie Airport	Port Macquarie, New South Wales, Australia
YPMH	Prominent Hill Airport[1]	Prominent Hill, South Australia, Australia
YPLC	Port Lincoln Airport	Port Lincoln, South Australia, Australia
YPKS	Parkes Airport[1]	Parkes, New South Wales, Australia
YPIR	Port Pirie Airport	Port Pirie, South Australia, Australia
YPDO	Pardoo Airport[1]	Pardoo Station, Western Australia, Australia
YPDI	Pandie Pandie Airport[1]	Pandie Pandie Station, South Australia, Australia
YPBO	Paraburdoo Airport	Paraburdoo, Western Australia, Australia
YPAM	Palm Island Airport[1]	Palm Island, Queensland, Australia
YPAG	Port Augusta Airport[1]	Port Augusta, South Australia, Australia
YKPT	Port Keats Airfield	Wadeye (Port Keats), Northern Territory, Australia
YBPN	Whitsunday Coast Airport	Proserpine, Queensland, Australia
WMPA	Pangkor Airport[1]	Pangkor Island, Perak, Malaysia
WMKP	Penang International Airport	Penang, Malaysia
WIPY	Atung Bungsu Airport[1]	Pagar Alam, South Sumatra, Indonesia
WIPT	Minangkabau International Airport	Padang, Indonesia
WIPQ	Pendopo Airport[1]	Pendopo, Indonesia
WIPP	Sultan Mahmud Badaruddin II International Airport	Palembang, Indonesia
WIPK	Depati Amir Airport[1]	Pangkal Pinang (Pangkalpinang), Indonesia
WIOP	Pangsuma Airport[1]	Putussibau, Indonesia
WIOO	Supadio Airport	Pontianak, Indonesia
WIIG	Panjang Island Airport[1]	Panjang Island, Indonesia
WIHP	Pondok Cabe Airport[1]	South Tangerang, Indonesia
WIDE	Tuanku Tambusai Airport[1]	Pasir Pangaraian (Pasir Pangarayan), Indonesia
WICP	Wirasaba Airport	Purwokerto, Indonesia
WIBB	Sultan Syarif Kasim II International Airport	Pekanbaru, Indonesia
WBKP	Pamol Airport[1]	Pamol, Sabah, Malaysia
WAOI	Iskandar Airport[1]	Pangkalan Bun (Pangkalanbuun), Indonesia
WAMP	Kasiguncu Airport[1]	Poso, Indonesia
WAGG	Tjilik Riwut Airport[1]	Palangkaraya, Indonesia
WAFF	Mutiara Airport[1]	Palu, Indonesia
WAEM	Buli Airport	Buli, North Maluku, Indonesia
VYPY	Pyay Airport[1]	Pyay (Prome), Myanmar
VYPU	Pakokku Airport[1]	Pakokku, Myanmar
VYPT	Putao Airport[1]	Putao, Myanmar
VYPP	Papun Airport[1]	Papun, Myanmar
VYPK	Pauk Airport[1]	Pauk, Myanmar
VYPA	Hpa-An Airport[1]	Hpa-An, Myanmar
VVPR	Phan Rang Air Base[1]	Phan Rang–Tháp Chàm, Vietnam
VVPQ	Phu Quoc International Airport	Phu Quoc Island, Vietnam
VVPK	Pleiku Airport	Pleiku, Vietnam
VTUJ	Surin Airport[1]	Surin, Thailand
VTSK	Pattani Airport	Pattani, Thailand
VTPP	Phitsanulok Airport	Phitsanulok, Thailand
VTPB	Phetchabun Airport	Phetchabun, Thailand
VTCP	Phrae Airport	Phrae, Thailand
VQPR	Paro International Airport	Paro, Bhutan
VOTY	Puducherry Airport	Pondicherry, Puducherry, India
VOPN	Sri Sathya Sai Airport[1]	Puttaparthi, Andhra Pradesh, India
VNPL	Phaplu Airport	Phaphlu, Nepal
VNPK	Pokhara Airport	Pokhara, Nepal
VLPS	Pakse International Airport	Pakse, Laos
VIPT	Pantnagar Airport[1]	Pantnagar, Uttarakhand, India
VEPT	Lok Nayak Jayaprakash Airport	Patna, Bihar, India
VEJP	Jeypore Airport[1]	Jeypore, Odisha, India
VEBU	Bilaspur Airport	Bilaspur, Chhattisgarh, India
VDPP	Phnom Penh International Airport	Phnom Penh, Cambodia
VAPR	Porbandar Airport[1]	Porbandar, Gujarat, India
VAPO	Pune Airport	Pune, Maharashtra, India
UWPP	Penza Airport (Ternovka Airport)	Penza, Penza Oblast, Russia
UUYP	Pechora Airport	Pechora, Komi Republic, Russia
USPP	Perm International Airport (Bolshoye Savino Airport)	Perm, Perm Krai, Russia
ULPB	Petrozavodsk Airport (Besovets Airport)	Petrozavodsk, Karelia, Russia
ULOO	Pskov Airport	Pskov, Pskov Oblast, Russia
UKHP	Poltava Airport[1]	Poltava, Ukraine
UHPP	Petropavlovsk-Kamchatsky Airport (Yelizovo Airport)	Petropavlovsk-Kamchatsky, Kamchatka Krai, Russia
UHMP	Pevek Airport	Pevek, Chukotka, Russia
UHMD	Provideniya Bay Airport	Provideniya, Chukotka, Russia
UERP	Polyarny Airport	Polyarny, Yakutia, Russia
UASS	Semey Airport	Semey, Kazakhstan
UASP	Pavlodar Airport	Pavlodar, Kazakhstan
UACP	Petropavl Airport	Petropavl (Petropavlovsk), Kazakhstan
TTPP	Piarco International Airport	Port of Spain, Trinidad and Tobago
TJPS	Mercedita Airport	Ponce, Puerto Rico
TFFR	Pointe-à-Pitre International Airport (Le Raizet Airport)	Pointe-à-Pitre, Guadeloupe
SYPR	Paruima Airport	Paruima, Guyana
SWPQ	Fazenda Piraguassu Airport	Porto Alegre do Norte, Mato Grosso, Brazil
SWPM	Pimenta Bueno Airport[1]	Pimenta Bueno, Rondônia, Brazil
SWPI	Júlio Belém Airport	Parintins, Amazonas, Brazil
SWPG	Porto dos Gaúchos Airport	Porto dos Gaúchos, Mato Grosso, Brazil
SVPT	Palmarito Airport[1]	Palmarito, Venezuela
SVPR	Manuel Carlos Piar Guayana Airport	Ciudad Guayana / Puerto Ordaz, Venezuela
SVPE	Pedernales Airport[1]	Pedernales, Venezuela
SVPC	Bartolomé Salom Airport[1]	Puerto Cabello, Venezuela
SVPA	Cacique Aramare Airport	Puerto Ayacucho, Venezuela
SVMG	Santiago Mariño Caribbean International Airport	Porlamar, Venezuela
SUPU	Tydeo Larre Borges International Airport	Paysandú, Uruguay
SULS	Capitán de Corbeta Carlos A. Curbelo International Airport	Punta del Este, Uruguay
SSZW	Comte. Antonio Amilton Beraldo Airport[1]	Ponta Grossa, Paraná, Brazil
SSPN	Paranaíba Airport[1]	Paranaíba, Mato Grosso do Sul, Brazil
SSPI	Edu Chaves Airport[1]	Paranavaí, Paraná, Brazil
SSPG	Santos Dumont Airport[1]	Paranaguá, Paraná, Brazil
SSPB	Juvenal Loureiro Cardoso Airport[1]	Pato Branco, Paraná, Brazil
SPUR	FAP Captain Guillermo Concha Iberico International Airport	Piura, Peru
SPTU	Padre Aldamiz International Airport	Puerto Maldonado, Peru
SPSO	Capitán FAP Renán Elías Olivera Airport	Pisco, Peru
SPCL	FAP Captain David Abensur Rengifo International Airport	Pucallpa, Peru
SNZA	Pouso Alegre Airport[1]	Pouso Alegre, Minas Gerais, Brazil
SNYE	Pinheiro Airport[1]	Pinheiro, Maranhão, Brazil
SNPX	Pirapora Airport[1]	Pirapora, Minas Gerais, Brazil
SNPD	Pedro Pereira dos Santos Airport	Patos de Minas, Minas Gerais, Brazil
SNPC	Picos Airport[1]	Picos, Piauí, Brazil
SNOS	Passos Airport[1]	Passos, Minas Gerais, Brazil
SNMZ	Porto de Moz Airport[1]	Porto de Moz, Pará, Brazil
SMJP	Johan Adolf Pengel International Airport	Paramaribo, Suriname
SLPS	Puerto Suárez International Airport	Puerto Suárez, Bolivia
SLPR	Puerto Rico Airport[1]	Puerto Rico, Bolivia
SLPO	Captain Nicolas Rojas Airport[1]	Potosí, Bolivia
SKVL	Velasquez Airport[1]	Puerto Boyacá, Colombia
SKPZ	Paz de Ariporo Airport[1]	Paz de Ariporo, Colombia
SKPV	El Embrujo Airport	Providencia Island, Colombia
SKPS	Antonio Nariño Airport	Pasto, Colombia
SKPR	Morela Airport[1] (Puerto Berrío Airport)	Puerto Berrío, Colombia
SKPQ	Captain Germán Olano Moreno Air Base[1]	Palanquero, Colombia
SKPP	Guillermo León Valencia Airport	Popayán, Colombia
SKPL	Plato Airport[1]	Plato, Colombia
SKPI	Contador Airport[1]	Pitalito, Colombia
SKPE	Matecaña International Airport	Pereira, Colombia
SKPD	Obando Airport	Puerto Inírida, Colombia
SKPC	Germán Olano Airport	Puerto Carreño, Colombia
SKAS	Tres de Mayo Airport	Puerto Asís, Colombia
SIAJ	Faz Taua Airport[1]	Prado, Bahia, Brazil
SGPJ	Dr. Augusto Roberto Fuster International Airport	Pedro Juan Caballero, Paraguay
SGPI	Carlos Miguel Jiménez Airport	Pilar, Paraguay
SFAL	Port Stanley Airport	Stanley, British Overseas Territory of Falkland Islands
SEPV	Reales Tamarindos Airport	Portoviejo, Ecuador
SEPT	Putumayo Airport[1]	Puerto El Carmen de Putumayo, Ecuador
SEPA	Río Amazonas Airport	Shell, Ecuador
SCTE	El Tepual Airport	Puerto Montt, Chile
SCTC	Maquehue Airport[1]	Temuco, Chile
SCPV	El Mirador Airport[1]	Puerto Varas, Chile
SCNT	Teniente Julio Gallardo Airport	Puerto Natales, Chile
SCCI	Presidente Carlos Ibáñez del Campo International Airport	Punta Arenas, Chile
SBUF	Paulo Afonso Airport[1]	Paulo Afonso, Bahia, Brazil
SBPV	Governador Jorge Teixeira de Oliveira International Airport	Porto Velho, Rondônia, Brazil
SBPP	Ponta Porã International Airport	Ponta Porã, Mato Grosso do Sul, Brazil
SBPN	Porto Nacional Airport[1]	Porto Nacional, Tocantins, Brazil
SBPL	Senador Nilo Coelho Airport	Petrolina, Pernambuco, Brazil
SBPK	João Simões Lopes Neto International Airport	Pelotas, Rio Grande do Sul, Brazil
SBPJ	Palmas–Brigadeiro Lysias Rodrigues Airport	Palmas, Tocantins, Brazil
SBPF	Lauro Kurtz Airport	Passo Fundo, Rio Grande do Sul, Brazil
SBPC	Poços de Caldas Airport[1]	Poços de Caldas, Minas Gerais, Brazil
SBPB	Parnaíba-Prefeito Dr. João Silva Filho International Airport	Parnaíba, Piauí, Brazil
SBPA	Salgado Filho International Airport	Porto Alegre, Rio Grande do Sul, Brazil
SBMN	Manaus Air Force Base	Manaus, Amazonas, Brazil
